,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4
136,2023-03-31 10:57:22.004308,"(-112.0, 155.0, -222.0)","(59.0, 1190.0, 992.0)","(13.0, 174.0, 112.0)","(-62.0, -188.0, 79.0)"
137,2023-03-31 10:57:22.016387,"(-64.0, 140.0, -209.0)","(26.0, 1130.0, 952.0)","(2.0, 144.0, 161.0)","(-69.0, -113.0, 69.0)"
138,2023-03-31 10:57:22.045222,"(-111.0, 126.0, -186.0)","(59.0, 1122.0, 956.0)","(69.0, 158.0, 82.0)","(-52.0, -87.0, 79.0)"
139,2023-03-31 10:57:22.059940,"(-86.0, 110.0, -139.0)","(68.0, 1104.0, 935.0)","(11.0, 166.0, 78.0)","(-53.0, -62.0, 53.0)"
140,2023-03-31 10:57:22.074726,"(-79.0, 84.0, -127.0)","(59.0, 1078.0, 941.0)","(4.0, 104.0, 114.0)","(-70.0, -66.0, 51.0)"
141,2023-03-31 10:57:22.089674,"(-51.0, 60.0, -155.0)","(73.0, 1059.0, 937.0)","(6.0, 154.0, 65.0)","(-9.0, -85.0, 9.0)"
142,2023-03-31 10:57:22.104356,"(7.0, 98.0, -136.0)","(70.0, 988.0, 922.0)","(35.0, 97.0, 72.0)","(-26.0, -45.0, 54.0)"
143,2023-03-31 10:57:22.118929,"(-18.0, 84.0, -117.0)","(76.0, 994.0, 892.0)","(75.0, 63.0, 58.0)","(-53.0, -67.0, -6.0)"
144,2023-03-31 10:57:22.134583,"(-33.0, 123.0, -125.0)","(55.0, 966.0, 921.0)","(38.0, 64.0, 17.0)","(-15.0, -40.0, 1.0)"
145,2023-03-31 10:57:22.149429,"(6.0, 50.0, -112.0)","(100.0, 935.0, 884.0)","(42.0, 108.0, -13.0)","(-6.0, -23.0, -19.0)"
146,2023-03-31 10:57:22.163805,"(-35.0, 89.0, -89.0)","(99.0, 919.0, 911.0)","(43.0, 49.0, 4.0)","(8.0, -51.0, -15.0)"
147,2023-03-31 10:57:22.178372,"(-8.0, 61.0, -87.0)","(101.0, 923.0, 965.0)","(51.0, 59.0, 44.0)","(5.0, -61.0, -54.0)"
148,2023-03-31 10:57:22.192927,"(-47.0, 29.0, -55.0)","(99.0, 901.0, 906.0)","(51.0, 31.0, 14.0)","(25.0, -80.0, -45.0)"
149,2023-03-31 10:57:22.207277,"(34.0, 118.0, -67.0)","(93.0, 886.0, 931.0)","(53.0, 1.0, 27.0)","(-21.0, -113.0, -66.0)"
150,2023-03-31 10:57:22.236408,"(25.0, 110.0, -50.0)","(96.0, 908.0, 957.0)","(81.0, 7.0, 27.0)","(-38.0, -94.0, -64.0)"
151,2023-03-31 10:57:22.250909,"(-3.0, 100.0, -46.0)","(55.0, 847.0, 961.0)","(51.0, -69.0, 29.0)","(4.0, -78.0, -94.0)"
152,2023-03-31 10:57:22.265364,"(16.0, 137.0, 0.0)","(94.0, 834.0, 1000.0)","(28.0, -55.0, -12.0)","(-9.0, -137.0, -106.0)"
153,2023-03-31 10:57:22.279804,"(-3.0, 115.0, -13.0)","(79.0, 856.0, 987.0)","(44.0, -83.0, 14.0)","(4.0, -113.0, -125.0)"
154,2023-03-31 10:57:22.294399,"(-24.0, 146.0, 12.0)","(95.0, 851.0, 982.0)","(-3.0, -122.0, 32.0)","(-7.0, -172.0, -116.0)"
155,2023-03-31 10:57:22.309126,"(-75.0, 153.0, -2.0)","(68.0, 806.0, 1033.0)","(42.0, -135.0, 35.0)","(-11.0, -193.0, -151.0)"
156,2023-03-31 10:57:22.324193,"(-14.0, 181.0, 45.0)","(5.0, 822.0, 1087.0)","(8.0, -163.0, 47.0)","(-50.0, -136.0, -154.0)"
157,2023-03-31 10:57:22.339216,"(-40.0, 178.0, 72.0)","(-9.0, 868.0, 1073.0)","(34.0, -176.0, -12.0)","(-75.0, -183.0, -163.0)"
